,title,text
0,在原元方_1,"ふるとしに春たちける日よめる
としのうちに春はきにけりひととせをこぞとやいはむことしとやいはむ"
1,紀貫之_2,"はるたちける日よめる
袖ひちてむすびし水のこほれるを春立つけふの風やとくらむ"
2,よみ人しらず_3,"題しらず
春霞たてるやいづこみよしののよしのの山に雪はふりつつ"
3,_4,"二条のきさきのはるのはじめの御うた
雪の内に春はきにけりうぐひすのこほれる涙今やとくらむ"
4,よみ人しらず_5,"題しらず
梅がえにきゐるうぐひすはるかけてなけどもいまだ雪はふりつつ"
5,素性法師_6,"雪の木にふりかかれるをよめる
春立てば花とや見らむ白雪のかかれる枝にうぐひすぞなく"
6,よみ人しらず_7,"題しらず
心ざしふかくそめてし折りければきえあへぬ雪の花と見ゆらむ"
7,文屋やすひで_8,"二条のきさきのとう宮のみやすんどころときこえけ   
る時、正月三日おまへにめして、おほせごとあるあひだに、日はてりながら雪のかしら   
にふりかかりけるをよませ給ひける"
8,きのつらゆき_9,"ゆきのふりけるをよめる
霞たちこのめもはるの雪ふれば花なきさとも花ぞちりける"
9,ふぢはらのことなほ_10,"春のはじめによめる
はるやとき花やおそきとききわかむ鶯だにもなかずもあるかな"
10,みぶのただみね_11,"はるのはじめのうた
春きぬと人はいへどもうぐひすのなかぬかぎりはあらじとぞ思ふ"
11,源まさずみ_12,"寛平御時きさいの宮のうたあはせのうた
谷風にとくるこほりのひまごとにうちいづる浪や春のはつ花"
12,紀とものり_13,花のかを風のたよりにたぐへてぞ鶯さそふしるべにはやる
13,大江千里_14,うぐひすの谷よりいづるこゑなくは春くることをたれかしらまし
14,在原棟梁_15,春たてど花もにほはぬ山ざとはものうかるねに鶯ぞなく
15,よみ人しらず_16,"題しらず
野辺ちかくいへゐしせればうぐひすのなくなるこゑはあさなあさなきく"
16,_17,かすがのはけふはなやきそわか草のつまもこもれり我もこもれり
17,_18,かすがののとぶひののもりいでて見よ今いくかありてわかなつみてむ
18,_19,み山には松の雪だにきえなくに宮こはのべのわかなつみけり
19,_20,梓弓おしてはるさめけふふりぬあすさへふらばわかなつみてむ
20,_21,"仁和のみかどみこにおましましける時に、人にわか   
なたまひける御うた"
