,title,manyogana,kundoku,kana
0,[題詞]泊瀬朝倉宮御宇天皇代  [<大>泊瀬稚武天皇] / 天皇御製歌_12,篭毛與  美篭母乳  布久思毛與  美夫君志持  此岳尓  菜採須兒  家吉閑名  告<紗>根  虚見津  山跡乃國者  押奈戸手  吾許曽居  師<吉>名倍手  吾己曽座  我<許>背齒 告目  家呼毛名雄母,篭もよ  み篭持ち  堀串もよ  み堀串持ち  この岡に  菜摘ます子  家聞かな  告らさね  そらみつ  大和の国は  おしなべて  我れこそ居れ  しきなべて  我れこそ座せ  我れこそば  告らめ  家をも名をも,",こもよ,みこもち,ふくしもよ,みぶくしもち,このをかに,なつますこ,いへきかな,のらさね,そらみつ,やまとのくには,おしなべて,われこそをれ,しきなべて,われこそませ,われこそば,のらめ,いへをもなをも"
1,[題詞]高市岡本宮御宇天皇代 [息長足日廣額天皇] / 天皇登香具山望國之時御製歌_29,山常庭  村山有等  取與呂布  天乃香具山  騰立  國見乎為者  國原波  煙立龍  海原波  加萬目立多都  怜Ａ國曽  蜻嶋  八間跡能國者,大和には  群山あれど  とりよろふ  天の香具山  登り立ち  国見をすれば  国原は  煙立ち立つ  海原は  鴎立ち立つ  うまし国ぞ  蜻蛉島  大和の国は,",やまとには,むらやまあれど,とりよろふ,あめのかぐやま,のぼりたち,くにみをすれば,くにはらは,けぶりたちたつ,うなはらは,かまめたちたつ,うましくにぞ,あきづしま,やまとのくには"
2,[題詞]天皇遊猟内野之時中皇命使間人連老獻歌_46,八隅知之  我大王乃  朝庭  取撫賜  夕庭  伊縁立之  御執乃  梓弓之  奈加弭乃  音為奈利  朝猟尓  今立須良思  暮猟尓  今他田渚良之  御執<能>  <梓>弓之  奈加弭乃  音為奈里,やすみしし  我が大君の  朝には  取り撫でたまひ  夕には  い寄り立たしし  み執らしの  梓の弓の  中弭の  音すなり  朝猟に  今立たすらし  夕猟に  今立たすらし  み執らしの  梓の弓の  中弭の  音すなり,",やすみしし,わがおほきみの,あしたには,とりなでたまひ,ゆふへには,いよりたたしし,みとらしの,あづさのゆみの,なかはずの,おとすなり,あさがりに,いまたたすらし,ゆふがりに,いまたたすらし,みとらしの,あづさのゆみの,なかはずの,おとすなり"
3,[題詞]（天皇遊猟内野之時中皇命使間人連老獻歌）反歌_63,玉尅春  内乃大野尓  馬數而  朝布麻須等六  其草深野,たまきはる宇智の大野に馬並めて朝踏ますらむその草深野,",たまきはる,うちのおほのに,うまなめて,あさふますらむ,そのくさふかの"
4,[題詞]幸讃岐國安益郡之時軍王見山作歌_80,霞立  長春日乃  晩家流  和豆肝之良受  村肝乃  心乎痛見  奴要子鳥  卜歎居者  珠手次  懸乃宜久  遠神  吾大王乃  行幸能  山越風乃  獨<座>  吾衣手尓  朝夕尓  還比奴礼婆  大夫登  念有我母  草枕  客尓之有者  思遣  鶴寸乎白土  網能浦之  海處女等之  焼塩乃  念曽所焼  吾下情,霞立つ  長き春日の  暮れにける  わづきも知らず  むらきもの  心を痛み  ぬえこ鳥  うら泣け居れば  玉たすき  懸けのよろしく  遠つ神  我が大君の  行幸の  山越す風の  ひとり居る  我が衣手に  朝夕に  返らひぬれば  大夫と  思へる我れも  草枕  旅にしあれば  思ひ遣る  たづきを知らに  網の浦の  海人娘子らが  焼く塩の  思ひぞ焼くる  我が下心,",かすみたつ,ながきはるひの,くれにける,わづきもしらず,むらきもの,こころをいたみ,ぬえこどり,うらなけをれば,たまたすき,かけのよろしく,とほつかみ,わがおほきみの,いでましの,やまこすかぜの,ひとりをる,わがころもでに,あさよひに,かへらひぬれば,ますらをと,おもへるわれも,くさまくら,たびにしあれば,おもひやる,たづきをしらに,あみのうらの,あまをとめらが,やくしほの,おもひぞやくる,わがしたごころ"
5,[題詞]（讃岐國安益郡之時軍王見山作歌）反歌_97,山越乃  風乎時自見  寐<夜>不落  家在妹乎  懸而小竹櫃,山越しの風を時じみ寝る夜おちず家なる妹を懸けて偲ひつ,",やまごしの,かぜをときじみ,ぬるよおちず,いへなるいもを,かけてしのひつ"
6,[題詞]明日香川原宮御宇天皇代  [天豊財重日足姫天皇] / 額田王歌  [未詳]_114,金野乃  美草苅葺  屋杼礼里之  兎道乃宮子能  借五百礒所念,秋の野のみ草刈り葺き宿れりし宇治の宮処の仮廬し思ほゆ,",あきののの,みくさかりふき,やどれりし,うぢのみやこの,かりいほしおもほゆ"
7,[題詞]後岡本宮御宇天皇代  [天豊財重日足姫天皇位後即位後岡本宮] / 額田王歌_131,熟田津尓  船乗世武登  月待者  潮毛可奈比沼  今者許藝乞菜,熟田津に船乗りせむと月待てば潮もかなひぬ今は漕ぎ出でな,",にぎたつに,ふなのりせむと,つきまてば,しほもかなひぬ,いまはこぎいでな"
8,[題詞]幸于紀温泉之時額田王作歌_148,莫囂圓隣之大相七兄爪謁氣  吾瀬子之  射立為兼  五可新何本,莫囂円隣之大相七兄爪謁気我が背子がい立たせりけむ厳橿が本,",*****,*******,わがせこが,いたたせりけむ,いつかしがもと"
9,[題詞]中皇命徃于紀温泉之時御歌_165,君之齒母  吾代毛所知哉  磐代乃  岡之草根乎  去来結手名,君が代も我が代も知るや岩代の岡の草根をいざ結びてな,",きみがよも,わがよもしるや,いはしろの,をかのくさねを,いざむすびてな"
