,chapter,sents
0,桐壺,いづれの御時にか、女御、更衣あまたさぶらひたまひけるなかに、いとやむごとなき際にはあらぬが、すぐれて時めきたまふありけり。
1,桐壺,はじめより我はと思ひ上がりたまへる御方がた、めざましきものにおとしめ嫉みたまふ。
2,桐壺,同じほど、それより下臈の更衣たちは、ましてやすからず。
3,桐壺,朝夕の宮仕へにつけても、人の心をのみ動かし、恨みを負ふ積もりにやありけむ、いと篤しくなりゆき、もの心細げに里がちなるを、いよいよあかずあはれなるものに思ほして、人のそしりをもえ憚らせたまはず、世のためしにもなりぬべき御もてなしなり。
4,桐壺,上達部、上人なども、あいなく目を側めつつ、「いとまばゆき人の御おぼえなり。唐土にも、かかる事の起こりにこそ、世も乱れ、悪しかりけれ」と、やうやう天の下にもあぢきなう、人のもてなやみぐさになりて、楊貴妃の例も引き出でつべくなりゆくに、いとはしたなきこと多かれど、かたじけなき御心ばへのたぐひなきを頼みにてまじらひたまふ。
5,桐壺,父の大納言は亡くなりて、母北の方なむいにしへの人のよしあるにて、親うち具し、さしあたりて世のおぼえはなやかなる御方がたにもいたう劣らず、なにごとの儀式をももてなしたまひけれど、とりたててはかばかしき後見しなければ、事ある時は、なほ拠り所なく心細げなり。
6,桐壺,先の世にも御契りや深かりけむ、世になく清らなる玉の男御子さへ生まれたまひぬ。
7,桐壺,いつしかと心もとながらせたまひて、急ぎ参らせて御覧ずるに、めづらかなる稚児の御容貌なり。
8,桐壺,一の皇子は、右大臣の女御の御腹にて、寄せ重く、疑ひなき儲の君と、世にもてかしづききこゆれど、この御にほひには並びたまふべくもあらざりければ、おほかたのやむごとなき御思ひにて、この君をば、私物に思ほしかしづきたまふこと限りなし。
9,桐壺,初めよりおしなべての上宮仕へしたまふべき際にはあらざりき。
10,桐壺,おぼえいとやむごとなく、上衆めかしけれど、わりなくまつはさせたまふあまりに、さるべき御遊びの折々、何事にもゆゑある事のふしぶしには、まづ参う上らせたまふ。
11,桐壺,ある時には大殿籠もり過ぐして、やがてさぶらはせたまひなど、あながちに御前去らずもてなさせたまひしほどに、おのづから軽き方にも見えしを、この御子生まれたまひて後は、いと心ことに思ほしおきてたれば、「坊にも、ようせずは、この御子の居たまふべきなめり」と、一の皇子の女御は思し疑へり。
12,桐壺,人より先に参りたまひて、やむごとなき御思ひなべてならず、皇女たちなどもおはしませば、この御方の御諌めをのみぞ、なほわづらはしう心苦しう思ひきこえさせたまひける。
13,桐壺,かしこき御蔭をば頼みきこえながら、落としめ疵を求めたまふ人は多く、わが身はか弱くものはかなきありさまにて、なかなかなるもの思ひをぞしたまふ。
14,桐壺,御局は桐壺なり。
15,桐壺,あまたの御方がたを過ぎさせたまひて、ひまなき御前渡りに、人の御心を尽くしたまふも、げにことわりと見えたり。
16,桐壺,参う上りたまふにも、あまりうちしきる折々は、打橋、渡殿のここかしこの道に、あやしきわざをしつつ、御送り迎への人の衣の裾、堪へがたく、まさなきこともあり。
17,桐壺,またある時には、え避らぬ馬道の戸を鎖しこめ、こなたかなた心を合はせて、はしたなめわづらはせたまふ時も多かり。
18,桐壺,事にふれて数知らず苦しきことのみまされば、いといたう思ひわびたるを、いとどあはれと御覧じて、後涼殿にもとよりさぶらひたまふ更衣の曹司を他に移させたまひて、上局に賜はす。
19,桐壺,その恨みましてやらむ方なし。
20,桐壺,この御子三つになりたまふ年、御袴着のこと一の宮のたてまつりしに劣らず、内蔵寮、納殿の物を尽くして、いみじうせさせたまふ。
21,桐壺,それにつけても、世の誹りのみ多かれど、この御子のおよすげもておはする御容貌心ばへありがたくめづらしきまで見えたまふを、え嫉みあへたまはず。
22,桐壺,ものの心知りたまふ人は、「かかる人も世に出でおはするものなりけり」と、あさましきまで目をおどろかしたまふ。
23,桐壺,その年の夏、御息所、はかなき心地にわづらひて、まかでなむとしたまふを、暇さらに許させたまはず。
24,桐壺,年ごろ、常の篤しさになりたまへれば、御目馴れて、「なほしばしこころみよ」とのみのたまはするに、日々に重りたまひて、ただ五六日のほどにいと弱うなれば、母君泣く泣く奏して、まかでさせたてまつりたまふ。
25,桐壺,かかる折にも、あるまじき恥もこそと心づかひして、御子をば留めたてまつりて、忍びてぞ出でたまふ。
26,桐壺,限りあれば、さのみもえ留めさせたまはず、御覧じだに送らぬおぼつかなさを、言ふ方なく思ほさる。
27,桐壺,いとにほひやかにうつくしげなる人の、いたう面痩せて、いとあはれとものを思ひしみながら、言に出でても聞こえやらず、あるかなきかに消え入りつつものしたまふを御覧ずるに、来し方行く末思し召されず、よろづのことを泣く泣く契りのたまはすれど、御いらへもえ聞こえたまはず、まみなどもいとたゆげにて、いとどなよなよと、我かの気色にて臥したれば、いかさまにと思し召しまどはる。
28,桐壺,輦車の宣旨などのたまはせても、また入らせたまひて、さらにえ許させたまはず。
29,桐壺,「限りあらむ道にも、後れ先立たじと、契らせたまひけるを。さりとも、うち捨てては、え行きやらじ」とのたまはするを、女もいといみじと、見たてまつりて、「限りとて別るる道の悲しきにいかまほしきは命なりけりいとかく思ひたまへましかば」と、息も絶えつつ、聞こえまほしげなることはありげなれど、いと苦しげにたゆげなれば、かくながら、ともかくもならむを御覧じはてむと思し召すに、「今日始むべき祈りども、さるべき人びとうけたまはれる、今宵より」と、聞こえ急がせば、わりなく思ほしながらまかでさせたまふ。
30,桐壺,御胸つとふたがりて、つゆまどろまれず、明かしかねさせたまふ。
31,桐壺,御使の行き交ふほどもなきに、なほいぶせさを限りなくのたまはせつるを、「夜半うち過ぐるほどになむ、絶えはてたまひぬる」とて泣き騒げば、御使もいとあへなくて帰り参りぬ。
32,桐壺,聞こし召す御心まどひ、何ごとも思し召しわかれず、籠もりおはします。
33,桐壺,御子は、かくてもいと御覧ぜまほしけれど、かかるほどにさぶらひたまふ、例なきことなれば、まかでたまひなむとす。
34,桐壺,何事かあらむとも思したらず、さぶらふ人びとの泣きまどひ、主上も御涙のひまなく流れおはしますを、あやしと見たてまつりたまへるを、よろしきことにだに、かかる別れの悲しからぬはなきわざなるを、ましてあはれに言ふかひなし。
35,桐壺,限りあれば、例の作法にをさめたてまつるを、母北の方、同じ煙にのぼりなむと、泣きこがれたまひて、御送りの女房の車に慕ひ乗りたまひて、愛宕といふ所にいといかめしうその作法したるに、おはし着きたる心地、いかばかりかはありけむ。
36,桐壺,「むなしき御骸を見る見る、なほおはするものと思ふが、いとかひなければ、灰になりたまはむを見たてまつりて、今は亡き人と、ひたぶるに思ひなりなむ」と、さかしうのたまひつれど、車よりも落ちぬべうまろびたまへば、さは思ひつかしと、人びともてわづらひきこゆ。
37,桐壺,内裏より御使あり。
38,桐壺,三位の位贈りたまふよし、勅使来てその宣命読むなむ、悲しきことなりける。
39,桐壺,女御とだに言はせずなりぬるが、あかず口惜しう思さるれば、いま一階の位をだにと、贈らせたまふなりけり。
40,桐壺,これにつけても憎みたまふ人びと多かり。
41,桐壺,もの思ひ知りたまふは、様、容貌などのめでたかりしこと、心ばせのなだらかにめやすく、憎みがたかりしことなど、今ぞ思し出づる。
42,桐壺,さま悪しき御もてなしゆゑこそ、すげなう嫉みたまひしか、人柄のあはれに情けありし御心を、主上の女房なども恋ひしのびあへり。
43,桐壺,なくてぞとは、かかる折にやと見えたり。
44,桐壺,はかなく日ごろ過ぎて、後のわざなどにもこまかにとぶらはせたまふ。
45,桐壺,ほど経るままに、せむ方なう悲しう思さるるに、御方がたの御宿直なども絶えてしたまはず、ただ涙にひちて明かし暮らさせたまへば、見たてまつる人さへ露けき秋なり。
46,桐壺,「亡きあとまで、人の胸あくまじかりける人の御おぼえかな」とぞ、弘徽殿などにはなほ許しなうのたまひける。
47,桐壺,一の宮を見たてまつらせたまふにも、若宮の御恋しさのみ思ほし出でつつ、親しき女房、御乳母などを遣はしつつ、ありさまを聞こし召す。
48,桐壺,野分立ちて、にはかに肌寒き夕暮のほど、常よりも思し出づること多くて、靫負命婦といふを遣はす。
49,桐壺,夕月夜のをかしきほどに出だし立てさせたまひて、やがて眺めおはします。
50,桐壺,かうやうの折は、御遊びなどせさせたまひしに、心ことなる物の音を掻き鳴らし、はかなく聞こえ出づる言の葉も、人よりはことなりしけはひ容貌の、面影につと添ひて思さるるにも、闇の現にはなほ劣りけり。
51,桐壺,命婦、かしこに参で着きて、門引き入るるより、けはひあはれなり。
52,桐壺,やもめ住みなれど、人一人の御かしづきに、とかくつくろひ立てて、めやすきほどにて過ぐしたまひつる、闇に暮れて臥し沈みたまへるほどに、草も高くなり、野分にいとど荒れたる心地して、月影ばかりぞ八重葎にも障はらず差し入りたる。
53,桐壺,南面に下ろして、母君も、とみにえものものたまはず。
54,桐壺,「今までとまりはべるがいと憂きを、かかる御使の蓬生の露分け入りたまふにつけても、いと恥づかしうなむ」とて、げにえ堪ふまじく泣いたまふ。
55,桐壺,「『参りては、いとど心苦しう、心肝も尽くるやうになむ』と、典侍の奏したまひしを、もの思うたまへ知らぬ心地にも、げにこそいと忍びがたうはべりけれ」とて、ややためらひて、仰せ言伝へきこゆ。
56,桐壺,「『しばしは夢かとのみたどられしを、やうやう思ひ静まるにしも、覚むべき方なく堪へがたきは、いかにすべきわざにかとも、問ひあはすべき人だになきを、忍びては参りたまひなむや。若宮のいとおぼつかなく、露けき中に過ぐしたまふも、心苦しう思さるるを、とく参りたまへ』など、はかばかしうものたまはせやらず、むせかへらせたまひつつ、かつは人も心弱く見たてまつるらむと、思しつつまぬにしもあらぬ御気色の心苦しさに、承り果てぬやうにてなむ、まかではべりぬる」とて、御文奉る。
57,桐壺,「目も見えはべらぬに、かくかしこき仰せ言を光にてなむ」とて、見たまふ。
58,桐壺,「ほど経ばすこしうち紛るることもやと、待ち過ぐす月日に添へて、いと忍びがたきはわりなきわざになむ。いはけなき人をいかにと思ひやりつつ、もろともに育まぬおぼつかなさを。今は、なほ昔のかたみになずらへて、ものしたまへ」など、こまやかに書かせたまへり。
59,桐壺,「宮城野の露吹きむすぶ風の音に小萩がもとを思ひこそやれ」とあれど、え見たまひ果てず。
60,桐壺,「命長さの、いとつらう思うたまへ知らるるに、松の思はむことだに、恥づかしう思うたまへはべれば、百敷に行きかひはべらむことは、ましていと憚り多くなむ。かしこき仰せ言をたびたび承りながら、みづからはえなむ思ひたまへたつまじき。若宮は、いかに思ほし知るにか、参りたまはむことをのみなむ思し急ぐめれば、ことわりに悲しう見たてまつりはべるなど、うちうちに思うたまふるさまを奏したまへ。ゆゆしき身にはべれば、かくておはしますも、忌ま忌ましうかたじけなくなむ」とのたまふ。
61,桐壺,宮は大殿籠もりにけり。
62,桐壺,「見たてまつりて、くはしう御ありさまも奏しはべらまほしきを、待ちおはしますらむに、夜更けはべりぬべし」とて急ぐ。
63,桐壺,「暮れまどふ心の闇も堪へがたき片端をだに、はるくばかりに聞こえまほしうはべるを、私にも心のどかにまかでたまへ。年ごろ、うれしく面だたしきついでにて立ち寄りたまひしものを、かかる御消息にて見たてまつる、返す返すつれなき命にもはべるかな。生まれし時より、思ふ心ありし人にて、故大納言、いまはとなるまで、『ただ、この人の宮仕への本意、かならず遂げさせたてまつれ。我れ亡くなりぬとて、口惜しう思ひくづほるな』と、返す返す諌めおかれはべりしかば、はかばかしう後見思ふ人もなき交じらひは、なかなかなるべきことと思ひたまへながら、ただかの遺言を違へじとばかりに、出だし立てはべりしを、身に余るまでの御心ざしの、よろづにかたじけなきに、人げなき恥を隠しつつ、交じらひたまふめりつるを、人の嫉み深く積もり、安からぬこと多くなり添ひはべりつるに、横様なるやうにて、つひにかくなりはべりぬれば、かへりてはつらくなむ、かしこき御心ざしを思ひたまへられはべる。これもわりなき心の闇になむ」と、言ひもやらずむせかへりたまふほどに、夜も更けぬ。
64,桐壺,「主上もしかなむ。『我が御心ながら、あながちに人目おどろくばかり思されしも、長かるまじきなりけりと、今はつらかりける人の契りになむ。世にいささかも人の心を曲げたることはあらじと思ふを、ただこの人のゆゑにて、あまたさるまじき人の恨みを負ひし果て果ては、かううち捨てられて、心をさめむ方なきに、いとど人悪ろうかたくなになり果つるも、前の世ゆかしうなむ』とうち返しつつ、御しほたれがちにのみおはします」と語りて尽きせず。
65,桐壺,泣く泣く、「夜いたう更けぬれば、今宵過ぐさず、御返り奏せむ」と急ぎ参る。
66,桐壺,月は入り方の、空清う澄みわたれるに、風いと涼しくなりて、草むらの虫の声ごゑもよほし顔なるも、いと立ち離れにくき草のもとなり。
67,桐壺,「鈴虫の声の限りを尽くしても長き夜あかずふる涙かな」えも乗りやらず。
68,桐壺,「いとどしく虫の音しげき浅茅生に露置き添ふる雲の上人かごとも聞こえつべくなむ」と言はせたまふ。
69,桐壺,をかしき御贈り物などあるべき折にもあらねば、ただかの御形見にとて、かかる用もやと残したまへりける御装束一領、御髪上げの調度めく物添へたまふ。
70,桐壺,若き人びと、悲しきことはさらにも言はず、内裏わたりを朝夕にならひて、いとさうざうしく、主上の御ありさまなど思ひ出できこゆれば、とく参りたまはむことをそそのかしきこゆれど、「かく忌ま忌ましき身の添ひたてまつらむも、いと人聞き憂かるべし、また、見たてまつらでしばしもあらむは、いとうしろめたう」思ひきこえたまひて、すがすがともえ参らせたてまつりたまはぬなりけり。
71,桐壺,命婦は、「まだ大殿籠もらせたまはざりける」と、あはれに見たてまつる。
72,桐壺,御前の壺前栽のいとおもしろき盛りなるを御覧ずるやうにて、忍びやかに心にくき限りの女房四五人さぶらはせたまひて、御物語せさせたまふなりけり。
73,桐壺,このごろ、明け暮れ御覧ずる長恨歌の御絵、亭子院の描かせたまひて、伊勢、貫之に詠ませたまへる、大和言の葉をも、唐土の詩をも、ただその筋をぞ、枕言にせさせたまふ。
74,桐壺,いとこまやかにありさま問はせたまふ。
75,桐壺,あはれなりつること忍びやかに奏す。
76,桐壺,御返り御覧ずれば、「いともかしこきは置き所もはべらず。かかる仰せ言につけても、かきくらす乱り心地になむ。荒き風ふせぎし蔭の枯れしより小萩がうへぞ静心なき」などやうに乱りがはしきを、心をさめざりけるほどと御覧じ許すべし。
77,桐壺,いとかうしも見えじと、思し静むれど、さらにえ忍びあへさせたまはず、御覧じ初めし年月のことさへかき集め、よろづに思し続けられて、「時の間もおぼつかなかりしを、かくても月日は経にけり」と、あさましう思し召さる。
78,桐壺,「故大納言の遺言あやまたず、宮仕への本意深くものしたりしよろこびは、かひあるさまにとこそ思ひわたりつれ。言ふかひなしや」とうちのたまはせて、いとあはれに思しやる。
79,桐壺,「かくても、おのづから若宮など生ひ出でたまはば、さるべきついでもありなむ。命長くとこそ思ひ念ぜめ」などのたまはす。
80,桐壺,かの贈り物御覧ぜさす。
81,桐壺,「亡き人の住処尋ね出でたりけむしるしの釵ならましかば」と思ほすもいとかひなし。
82,桐壺,「尋ねゆく幻もがなつてにても魂のありかをそこと知るべく」絵に描ける楊貴妃の容貌は、いみじき絵師といへども、筆限りありければいとにほひ少なし。
83,桐壺,大液芙蓉未央柳も、げに通ひたりし容貌を、唐めいたる装ひはうるはしうこそありけめ、なつかしうらうたげなりしを思し出づるに、花鳥の色にも音にもよそふべき方ぞなき。
84,桐壺,朝夕の言種に、「翼をならべ、枝を交はさむ」と契らせたまひしに、かなはざりける命のほどぞ、尽きせず恨めしき。
85,桐壺,風の音、虫の音につけて、もののみ悲しう思さるるに、弘徽殿には、久しく上の御局にも参う上りたまはず、月のおもしろきに、夜更くるまで遊びをぞしたまふなる。
86,桐壺,いとすさまじう、ものしと聞こし召す。
87,桐壺,このごろの御気色を見たてまつる上人、女房などは、かたはらいたしと聞きけり。
88,桐壺,いとおし立ちかどかどしきところものしたまふ御方にて、ことにもあらず思し消ちてもてなしたまふなるべし。
89,桐壺,月も入りぬ。
90,桐壺,「雲の上も涙にくるる秋の月いかですむらむ浅茅生の宿」思し召しやりつつ、灯火をかかげ尽くして起きおはします。
91,桐壺,右近の司の宿直奏の声聞こゆるは、丑になりぬるなるべし。
92,桐壺,人目を思して、夜の御殿に入らせたまひても、まどろませたまふことかたし。
93,桐壺,朝に起きさせたまふとても、「明くるも知らで」と思し出づるにも、なほ朝政は怠らせたまひぬべかめり。
